"Initial_Coral","Fishing_Pressure","Final_Coral","betaT","betaM"
0.38,0.14,0.684715234640895,0.7,0.3
0.4,0.14,0.684715234640895,0.7,0.3
0.42,0.14,0.684715234640895,0.7,0.3
0.44,0.14,0.684715234640895,0.7,0.3
0.46,0.14,0.684715234640895,0.7,0.3
0.48,0.14,0.684715234640895,0.7,0.3
0.5,0.14,0.684715234640895,0.7,0.3
0.52,0.14,0.684715234640895,0.7,0.3
0.54,0.14,0.684715234640895,0.7,0.3
0.56,0.14,0.684715234640895,0.7,0.3
0.58,0.14,0.684715234640895,0.7,0.3
0.6,0.14,0.684715234640895,0.7,0.3
0.62,0.14,0.684715234640895,0.7,0.3
0.64,0.14,0.684715234640895,0.7,0.3
0.66,0.14,0.684715234640895,0.7,0.3
0.68,0.14,0.684715234640895,0.7,0.3
0.7,0.14,0.684715234640895,0.7,0.3
0.72,0.14,0.684715234640895,0.7,0.3
0.74,0.14,0.684715234640901,0.7,0.3
0.76,0.14,0.684715234640901,0.7,0.3
0.78,0.14,0.684715234640901,0.7,0.3
0.8,0.14,0.684715234640901,0.7,0.3
0.82,0.14,0.684715234640901,0.7,0.3
0.84,0.14,0.684715234640901,0.7,0.3
0,0.16,0.683088449039486,0.7,0.3
0.02,0.16,0.683088449039486,0.7,0.3
0.04,0.16,0.683088449039486,0.7,0.3
0.06,0.16,0.683088449039486,0.7,0.3
0.08,0.16,0.683088449039486,0.7,0.3
0.1,0.16,0.683088449039486,0.7,0.3
0.12,0.16,0.683088449039486,0.7,0.3
0.14,0.16,0.683088449039486,0.7,0.3
0.16,0.16,0.683088449039486,0.7,0.3
0.18,0.16,0.683088449039486,0.7,0.3
0.2,0.16,0.683088449039486,0.7,0.3
0.22,0.16,0.683088449039486,0.7,0.3
0.24,0.16,0.683088449039486,0.7,0.3
0.26,0.16,0.683088449039486,0.7,0.3
0.28,0.16,0.683088449039486,0.7,0.3
0.3,0.16,0.683088449039486,0.7,0.3
0.32,0.16,0.683088449039486,0.7,0.3
0.34,0.16,0.683088449039486,0.7,0.3
0.36,0.16,0.683088449039486,0.7,0.3
0.38,0.16,0.683088449039486,0.7,0.3
0.4,0.16,0.683088449039486,0.7,0.3
0.42,0.16,0.683088449039486,0.7,0.3
0.44,0.16,0.683088449039486,0.7,0.3
0.46,0.16,0.683088449039486,0.7,0.3
0.48,0.16,0.683088449039486,0.7,0.3
0.5,0.16,0.683088449039486,0.7,0.3
0.52,0.16,0.683088449039486,0.7,0.3
0.54,0.16,0.683088449039486,0.7,0.3
0.56,0.16,0.683088449039486,0.7,0.3
0.58,0.16,0.683088449039486,0.7,0.3
0.6,0.16,0.683088449039486,0.7,0.3
0.62,0.16,0.683088449039486,0.7,0.3
0.64,0.16,0.683088449039486,0.7,0.3
0.66,0.16,0.683088449039486,0.7,0.3
0.68,0.16,0.683088449039486,0.7,0.3
0.7,0.16,0.683088449039486,0.7,0.3
0.72,0.16,0.683088449039486,0.7,0.3
0.74,0.16,0.683088449039491,0.7,0.3
0.76,0.16,0.683088449039491,0.7,0.3
0.78,0.16,0.683088449039491,0.7,0.3
0.8,0.16,0.683088449039491,0.7,0.3
0.82,0.16,0.683088449039491,0.7,0.3
0.84,0.16,0.683088449039491,0.7,0.3
0,0.18,0.681337226110994,0.7,0.3
0.02,0.18,0.681337226110994,0.7,0.3
0.04,0.18,0.681337226110994,0.7,0.3
0.06,0.18,0.681337226110994,0.7,0.3
0.08,0.18,0.681337226110994,0.7,0.3
0.1,0.18,0.681337226110994,0.7,0.3
0.12,0.18,0.681337226110994,0.7,0.3
0.14,0.18,0.681337226110994,0.7,0.3
0.16,0.18,0.681337226110994,0.7,0.3
0.18,0.18,0.681337226110994,0.7,0.3
0.2,0.18,0.681337226110994,0.7,0.3
0.22,0.18,0.681337226110994,0.7,0.3
0.24,0.18,0.681337226110994,0.7,0.3
0.26,0.18,0.681337226110994,0.7,0.3
0.28,0.18,0.681337226110994,0.7,0.3
0.3,0.18,0.681337226110994,0.7,0.3
0.32,0.18,0.681337226110994,0.7,0.3
0.34,0.18,0.681337226110994,0.7,0.3
0.36,0.18,0.681337226110994,0.7,0.3
0.38,0.18,0.681337226110994,0.7,0.3
0.4,0.18,0.681337226110994,0.7,0.3
0.42,0.18,0.681337226110994,0.7,0.3
0.44,0.18,0.681337226110994,0.7,0.3
0.46,0.18,0.681337226110994,0.7,0.3
0.48,0.18,0.681337226110994,0.7,0.3
0.5,0.18,0.681337226110994,0.7,0.3
0.52,0.18,0.681337226110994,0.7,0.3
0.54,0.18,0.681337226110994,0.7,0.3
0.56,0.18,0.681337226110994,0.7,0.3
0.58,0.18,0.681337226110994,0.7,0.3
0.6,0.18,0.681337226110994,0.7,0.3
0.62,0.18,0.681337226110994,0.7,0.3
0.64,0.18,0.681337226110994,0.7,0.3
0.66,0.18,0.681337226110994,0.7,0.3
0.68,0.18,0.681337226110994,0.7,0.3
0.7,0.18,0.681337226110994,0.7,0.3
0.72,0.18,0.681337226110994,0.7,0.3
0.74,0.18,0.681337226111,0.7,0.3
0.76,0.18,0.681337226111,0.7,0.3
0.78,0.18,0.681337226111,0.7,0.3
0.8,0.18,0.681337226111,0.7,0.3
0.82,0.18,0.681337226111,0.7,0.3
0.84,0.18,0.681337226111,0.7,0.3
0,0.2,0.679446629955447,0.7,0.3
0.02,0.2,0.679446629955447,0.7,0.3
0.04,0.2,0.679446629955447,0.7,0.3
