"Initial_Coral","Fishing_Pressure","Final_Coral","alphaT","alphaM"
0.72,0.02,0.707344809437443,0.6,0.6
0.74,0.02,0.707344809437443,0.6,0.6
0.76,0.02,0.707344809437443,0.6,0.6
0.78,0.02,0.707344809437443,0.6,0.6
0.8,0.02,0.707344809437443,0.6,0.6
0.82,0.02,0.707344809437448,0.6,0.6
0.84,0.02,0.707344809437448,0.6,0.6
0,0.04,0.0518123155071969,0.6,0.6
0.02,0.04,0.0518123155071969,0.6,0.6
0.04,0.04,0.0518123155071969,0.6,0.6
0.06,0.04,0.0518123155071969,0.6,0.6
0.08,0.04,0.0518123155071969,0.6,0.6
0.1,0.04,0.0518123155071969,0.6,0.6
0.12,0.04,0.0518123155071969,0.6,0.6
0.14,0.04,0.0518123155071969,0.6,0.6
0.16,0.04,0.0518123155071969,0.6,0.6
0.18,0.04,0.0518123155071969,0.6,0.6
0.2,0.04,0.0518123155071969,0.6,0.6
0.22,0.04,0.0518123155071969,0.6,0.6
0.24,0.04,0.0518123155071969,0.6,0.6
0.26,0.04,0.0518123155071969,0.6,0.6
0.28,0.04,0.0518123155071969,0.6,0.6
0.3,0.04,0.0518123155071969,0.6,0.6
0.32,0.04,0.706385791435948,0.6,0.6
0.34,0.04,0.706385791435948,0.6,0.6
0.36,0.04,0.706385791435948,0.6,0.6
0.38,0.04,0.706385791435948,0.6,0.6
0.4,0.04,0.706385791435948,0.6,0.6
0.42,0.04,0.706385791435948,0.6,0.6
0.44,0.04,0.706385791435948,0.6,0.6
0.46,0.04,0.706385791435948,0.6,0.6
0.48,0.04,0.706385791435948,0.6,0.6
0.5,0.04,0.706385791435948,0.6,0.6
0.52,0.04,0.706385791435948,0.6,0.6
0.54,0.04,0.706385791435948,0.6,0.6
0.56,0.04,0.706385791435948,0.6,0.6
0.58,0.04,0.706385791435948,0.6,0.6
0.6,0.04,0.706385791435948,0.6,0.6
0.62,0.04,0.706385791435948,0.6,0.6
0.64,0.04,0.706385791435948,0.6,0.6
0.66,0.04,0.706385791435948,0.6,0.6
0.68,0.04,0.706385791435948,0.6,0.6
0.7,0.04,0.706385791435948,0.6,0.6
0.72,0.04,0.706385791435948,0.6,0.6
0.74,0.04,0.706385791435948,0.6,0.6
0.76,0.04,0.706385791435948,0.6,0.6
0.78,0.04,0.706385791435948,0.6,0.6
0.8,0.04,0.706385791435948,0.6,0.6
0.82,0.04,0.706385791435953,0.6,0.6
0.84,0.04,0.706385791435953,0.6,0.6
0,0.06,0.0494380619185415,0.6,0.6
0.02,0.06,0.0494380619185415,0.6,0.6
0.04,0.06,0.0494380619185415,0.6,0.6
0.06,0.06,0.0494380619185415,0.6,0.6
0.08,0.06,0.0494380619185415,0.6,0.6
0.1,0.06,0.0494380619185415,0.6,0.6
0.12,0.06,0.0494380619185415,0.6,0.6
0.14,0.06,0.0494380619185415,0.6,0.6
0.16,0.06,0.0494380619185415,0.6,0.6
0.18,0.06,0.0494380619185415,0.6,0.6
0.2,0.06,0.0494380619185415,0.6,0.6
0.22,0.06,0.0494380619185415,0.6,0.6
0.24,0.06,0.0494380619185415,0.6,0.6
0.26,0.06,0.0494380619185415,0.6,0.6
0.28,0.06,0.0494380619185415,0.6,0.6
0.3,0.06,0.0494380619185415,0.6,0.6
0.32,0.06,0.0494380619185415,0.6,0.6
0.34,0.06,0.705330802360551,0.6,0.6
0.36,0.06,0.705330802360551,0.6,0.6
0.38,0.06,0.705330802360551,0.6,0.6
0.4,0.06,0.705330802360551,0.6,0.6
0.42,0.06,0.705330802360551,0.6,0.6
0.44,0.06,0.705330802360551,0.6,0.6
0.46,0.06,0.705330802360551,0.6,0.6
0.48,0.06,0.705330802360551,0.6,0.6
0.5,0.06,0.705330802360551,0.6,0.6
0.52,0.06,0.705330802360551,0.6,0.6
0.54,0.06,0.705330802360551,0.6,0.6
0.56,0.06,0.705330802360551,0.6,0.6
0.58,0.06,0.705330802360551,0.6,0.6
0.6,0.06,0.705330802360551,0.6,0.6
0.62,0.06,0.705330802360551,0.6,0.6
0.64,0.06,0.705330802360551,0.6,0.6
0.66,0.06,0.705330802360551,0.6,0.6
0.68,0.06,0.705330802360551,0.6,0.6
0.7,0.06,0.705330802360551,0.6,0.6
0.72,0.06,0.705330802360551,0.6,0.6
0.74,0.06,0.705330802360551,0.6,0.6
0.76,0.06,0.705330802360551,0.6,0.6
0.78,0.06,0.705330802360551,0.6,0.6
0.8,0.06,0.705330802360551,0.6,0.6
0.82,0.06,0.705330802360556,0.6,0.6
0.84,0.06,0.705330802360556,0.6,0.6
0,0.08,0.0472006923500508,0.6,0.6
0.02,0.08,0.0472006923500508,0.6,0.6
0.04,0.08,0.0472006923500508,0.6,0.6
0.06,0.08,0.0472006923500508,0.6,0.6
