"Initial_Coral","Fishing_Pressure","Final_Coral","iT","iC"
0.32,0.08,0.425125285409352,0.25,0.05
0.34,0.08,0.425125285409369,0.25,0.05
0.36,0.08,0.425125285409384,0.25,0.05
0.38,0.08,0.425125285409398,0.25,0.05
0.4,0.08,0.425125285409408,0.25,0.05
0.42,0.08,0.425125285409416,0.25,0.05
0.44,0.08,0.425125285409435,0.25,0.05
0.46,0.08,0.425125285409436,0.25,0.05
0.48,0.08,0.425125285409444,0.25,0.05
0.5,0.08,0.42512528540945,0.25,0.05
0.52,0.08,0.425125285409454,0.25,0.05
0.54,0.08,0.425125285409458,0.25,0.05
0.56,0.08,0.425125285409463,0.25,0.05
0.58,0.08,0.425125285409467,0.25,0.05
0.6,0.08,0.42512528540947,0.25,0.05
0.62,0.08,0.425125285409472,0.25,0.05
0.64,0.08,0.425125285409474,0.25,0.05
0.66,0.08,0.425125285409477,0.25,0.05
0.68,0.08,0.425125285409479,0.25,0.05
0.7,0.08,0.425125285409481,0.25,0.05
0.72,0.08,0.425125285409483,0.25,0.05
0.74,0.08,0.425125285409484,0.25,0.05
0.76,0.08,0.425125285409486,0.25,0.05
0.78,0.08,0.425125285409487,0.25,0.05
0.8,0.08,0.425125285409488,0.25,0.05
0.82,0.08,0.425125285409489,0.25,0.05
0.84,0.08,0.42512528540949,0.25,0.05
0,0.1,0.404088688172805,0.25,0.05
0.02,0.1,0.404088688175127,0.25,0.05
0.04,0.1,0.404088688177484,0.25,0.05
0.06,0.1,0.404088688179853,0.25,0.05
0.08,0.1,0.40408868818221,0.25,0.05
0.1,0.1,0.404088688184524,0.25,0.05
0.12,0.1,0.40408868818677,0.25,0.05
0.14,0.1,0.404088688188921,0.25,0.05
0.16,0.1,0.404088688190956,0.25,0.05
0.18,0.1,0.404088688192855,0.25,0.05
0.2,0.1,0.404088688194606,0.25,0.05
0.22,0.1,0.404088688196202,0.25,0.05
0.24,0.1,0.404088688197644,0.25,0.05
0.26,0.1,0.404088688198933,0.25,0.05
0.28,0.1,0.404088688200077,0.25,0.05
0.3,0.1,0.404088688201087,0.25,0.05
0.32,0.1,0.404088688201974,0.25,0.05
0.34,0.1,0.40408868820275,0.25,0.05
0.36,0.1,0.404088688203428,0.25,0.05
0.38,0.1,0.40408868820402,0.25,0.05
0.4,0.1,0.404088688204535,0.25,0.05
0.42,0.1,0.404088688204987,0.25,0.05
0.44,0.1,0.404088688205379,0.25,0.05
0.46,0.1,0.404088688205723,0.25,0.05
0.48,0.1,0.404088688206025,0.25,0.05
0.5,0.1,0.40408868820629,0.25,0.05
0.52,0.1,0.404088688206523,0.25,0.05
0.54,0.1,0.404088688206729,0.25,0.05
0.56,0.1,0.404088688206911,0.25,0.05
0.58,0.1,0.404088688207073,0.25,0.05
0.6,0.1,0.404088688207217,0.25,0.05
0.62,0.1,0.404088688207346,0.25,0.05
0.64,0.1,0.404088688207461,0.25,0.05
0.66,0.1,0.404088688207564,0.25,0.05
0.68,0.1,0.404088688207657,0.25,0.05
0.7,0.1,0.404088688207741,0.25,0.05
0.72,0.1,0.404088688207817,0.25,0.05
0.74,0.1,0.404088688207886,0.25,0.05
0.76,0.1,0.404088688207948,0.25,0.05
0.78,0.1,0.404088688208005,0.25,0.05
0.8,0.1,0.404088688208057,0.25,0.05
0.82,0.1,0.404088688208105,0.25,0.05
0.84,0.1,0.404088688208149,0.25,0.05
0,0.12,0.379273753398813,0.25,0.05
0.02,0.12,0.37927375345849,0.25,0.05
0.04,0.12,0.379273753520132,0.25,0.05
0.06,0.12,0.379273753583267,0.25,0.05
0.08,0.12,0.37927375364731,0.25,0.05
0.1,0.12,0.379273753711582,0.25,0.05
0.12,0.12,0.379273753775336,0.25,0.05
0.14,0.12,0.379273753837796,0.25,0.05
0.16,0.12,0.379273753898206,0.25,0.05
0.18,0.12,0.379273753955874,0.25,0.05
0.2,0.12,0.379273754010222,0.25,0.05
0.22,0.12,0.379273754060811,0.25,0.05
0.24,0.12,0.37927375410736,0.25,0.05
0.26,0.12,0.379273754149748,0.25,0.05
0.28,0.12,0.379273754187992,0.25,0.05
0.3,0.12,0.379273754222228,0.25,0.05
