Initial_Coral,Fishing_Pressure,Final_Coral
0.84,0.01,0.709172663619564
0.85,0.01,0.709172663619564
0,0.02,0.07158902287825004
0.01,0.02,0.07158902287825651
0.02,0.02,0.07158902287825651
0.03,0.02,0.07158902287825651
0.04,0.02,0.07158902287825651
0.05,0.02,0.07158902287825651
0.06,0.02,0.07158902287825651
0.07,0.02,0.07158902287825651
0.08,0.02,0.07158902287825651
0.09,0.02,0.07158902287825651
0.1,0.02,0.07158902287825651
0.11,0.02,0.07158902287825651
0.12,0.02,0.07158902287825651
0.13,0.02,0.07158902287825651
0.14,0.02,0.07158902287825651
0.15,0.02,0.07158902287825651
0.16,0.02,0.07158902287825651
0.17,0.02,0.07158902287825651
0.18,0.02,0.07158902287825651
0.19,0.02,0.07158902287825651
0.2,0.02,0.07158902287825651
0.21,0.02,0.07158902287825651
